Aprd[] eps[] 
232 0
235 0
191 0
207 0
236 0
155 0
242 0
195 0
196 0
236 0
229 0
269 0
341 0
319 0
278 0
183 0
230 0
242 0
145 0
87 0
148 0
66 0
68 0
61 0
34 0
139 0
171 0
217 0
222 0
143 0
163 0
250 0
208 0
260 0
270 0
315 0
203 0
33 0
211 0
109 0
87 0
142 0
140 0
220 0
163 0
218 0
224 0
252 0
272 0
275 0
205 0
159 0
167 0
152 0
123 0
142 0
129 0
131 0
178 0
185 0
173 0
214 0
222 0
200 0
217 0
151 0
178 0
111 0
72 0
93 0
83 0
188 0
201 0
243 0
78 0
181 0
214 0
194 0
197 0
181 0
272 0
234 0
194 0
246 0
212 0
102 0
191 0
127 0
85 0
79 0
119 0
174 0
215 0
200 0
197 0
228 0
259 0
65 0
END
